SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality,802.11 Standards,Connected,Stations Count,Channel Utilization,Country Code,Description,MAC Group
,AA-DA-0C-B8-58-02,802.11n/ac,-68,75,75.0,5.745,149,334,20,,,,WPA2-PSK,CCMP,867 Mbps,80 MHz,147 - 163,Infrastructure,Not Configured,17-12-2022 00:09:00,17-12-2022 00:09:00,1,02-12-2022 10:41:15,75,75,802.11d/e/h/i,No,0,3.5%,IN,,16
,BA-5F-67-A4-47-B1,802.11g/n/ax,-21,95,95.0,2.457,10,309,22,,,,WPA2-PSK,CCMP,300 Mbps,40 MHz,6 - 14,Infrastructure,No,17-12-2022 00:09:00,17-12-2022 00:09:00,1,16-12-2022 15:32:48,95,95,802.11d/e/h/i,No,0,11.4%,US,,
Airtel_2.4G,A8-DA-0C-88-58-01,802.11g/n,-65,78,78.0,2.462,11,365,17,SERVERCOM (INDIA) PRIVATE LIMITED,AXX-4221SR,RalinkAPS,WPA2-PSK,CCMP,300 Mbps,40 MHz,5 - 13,Infrastructure,Configured,17-12-2022 00:09:00,17-12-2022 00:09:00,1,02-12-2022 10:40:09,78,78,802.11d/h/i,No,,,IN,,5
Airtel_5G,A8-DA-0C-88-58-02,802.11n/ac,-68,75,75.0,5.745,149,375,19,SERVERCOM (INDIA) PRIVATE LIMITED,AXX-4221SR,RalinkAPS_0,WPA2-PSK,CCMP,867 Mbps,80 MHz,147 - 163,Infrastructure,Configured,17-12-2022 00:09:00,17-12-2022 00:09:00,1,02-12-2022 10:41:15,75,75,802.11d/e/h/i,No,0,1.6%,IN,,5
Airtel_5G-1,AA-DA-0C-98-58-02,802.11n/ac,-68,75,75.0,5.745,149,377,19,,AXX-4221SR,RalinkAPS_1,WPA2-PSK,CCMP,867 Mbps,80 MHz,147 - 163,Infrastructure,Configured,17-12-2022 00:09:00,17-12-2022 00:09:00,1,02-12-2022 10:41:15,75,75,802.11d/e/h/i,No,0,1.6%,IN,,16
Apple-2.4G,B4-F9-49-17-E1-45,802.11g/n,-48,88,88.0,2.422,3,191,14,optilink networks pvt ltd,,,WPA-PSK + WPA2-PSK,TKIP+CCMP,130 Mbps,20 MHz,1 - 5,Infrastructure,No,17-12-2022 00:09:00,17-12-2022 00:09:00,1,24-11-2022 10:43:35,88,88,802.11d/e/i,No,0,7.1%,US,,10
Apple-5G,B4-F9-49-17-E1-41,802.11n/ac,-62,81,81.0,5.180,36,286,16,optilink networks pvt ltd,,,WPA-PSK + WPA2-PSK,TKIP+CCMP,780 Mbps,80 MHz,34 - 50,Infrastructure,No,17-12-2022 00:09:00,17-12-2022 00:09:00,1,24-11-2022 10:43:30,81,81,802.11d/e/h/i/r,No,0,5.1%,US,,10
Candela-office,94-A6-7E-73-E1-20,802.11g/n/ac,-63,80,80.0,2.412,1,251,19,NETGEAR,,,WPA2-PSK,CCMP,867 Mbps,20 MHz,1 - 3,Infrastructure,No,17-12-2022 00:09:00,17-12-2022 00:09:00,1,28-11-2022 14:24:18,80,80,802.11d/i/r,No,,,IN,,11
Candela-office,94-A6-7E-74-09-F0,802.11n/ac,-32,92,92.0,5.785,157,284,18,NETGEAR,,,WPA2-PSK,CCMP,867 Mbps,80 MHz,155 - 171,Infrastructure,No,17-12-2022 00:09:00,17-12-2022 00:09:00,1,18-11-2022 10:57:25,92,92,802.11d/i/r,No,,,IN,,4
Candela-office,94-A6-7E-73-E2-F0,802.11n/ac,-76,67,67.0,5.745,149,284,18,NETGEAR,,,WPA2-PSK,CCMP,867 Mbps,80 MHz,147 - 163,Infrastructure,No,17-12-2022 00:09:00,17-12-2022 00:09:00,1,16-12-2022 12:34:57,67,67,802.11d/i/r,No,,,IN,,17
Candela-office,94-A6-7E-74-09-E0,802.11g/n/ac,-42,89,89.0,2.437,6,273,21,NETGEAR,,,WPA2-PSK,CCMP,867 Mbps,20 MHz,4 - 8,Infrastructure,No,17-12-2022 00:09:00,17-12-2022 00:09:00,1,18-11-2022 10:57:24,89,89,802.11d/i/r,Yes,,,IN,,4
Candela-office,94-A6-7E-74-05-E0,802.11g/n/ac,-69,74,74.0,2.462,11,251,19,NETGEAR,,,WPA2-PSK,CCMP,867 Mbps,20 MHz,9 - 13,Infrastructure,No,17-12-2022 00:09:00,17-12-2022 00:09:00,1,15-12-2022 19:01:42,74,74,802.11d/i/r,No,,,IN,,4
Candela-office,94-A6-7E-74-05-F0,802.11n/ac,-69,74,74.0,5.300,60,290,19,NETGEAR,,,WPA2-PSK,CCMP,867 Mbps,40 MHz,58 - 66,Infrastructure,No,17-12-2022 00:09:00,17-12-2022 00:09:00,1,15-12-2022 19:01:43,74,74,802.11d/i/r,No,,,IN,,4
Candela-office,94-A6-7E-73-DC-10,802.11n/ac,-72,71,71.0,5.220,44,284,18,NETGEAR,,,WPA2-PSK,CCMP,867 Mbps,40 MHz,42 - 50,Infrastructure,No,17-12-2022 00:09:00,17-12-2022 00:09:00,1,21-10-2022 19:39:33,71,71,802.11d/i/r,No,,,IN,,7
Candela-office,94-A6-7E-73-DC-00,802.11g/n/ac,-67,76,76.0,2.437,6,258,20,NETGEAR,,,WPA2-PSK,CCMP,867 Mbps,20 MHz,4 - 8,Infrastructure,No,17-12-2022 00:09:00,17-12-2022 00:09:00,1,21-10-2022 19:39:32,76,76,802.11d/i/r,No,,,IN,,7
CG,94-A6-7E-73-E2-F1,802.11n/ac,-76,67,67.0,5.745,149,272,18,NETGEAR,,,WPA2-PSK,CCMP,867 Mbps,80 MHz,147 - 163,Infrastructure,No,17-12-2022 00:09:00,17-12-2022 00:09:00,1,16-12-2022 12:34:57,67,67,802.11d/i/r,No,,,IN,,17
CG,94-A6-7E-74-05-F1,802.11n/ac,-69,74,74.0,5.300,60,278,19,NETGEAR,,,WPA2-PSK,CCMP,867 Mbps,40 MHz,58 - 66,Infrastructure,No,17-12-2022 00:09:00,17-12-2022 00:09:00,1,15-12-2022 19:01:43,74,74,802.11d/i/r,No,,,IN,,4
CG,94-A6-7E-73-DC-01,802.11g/n/ac,-66,77,77.0,2.437,6,239,19,NETGEAR,,,WPA2-PSK,CCMP,867 Mbps,20 MHz,4 - 8,Infrastructure,No,17-12-2022 00:09:00,17-12-2022 00:09:00,1,21-10-2022 19:39:32,77,77,802.11d/i/r,No,,,IN,,7
CG,94-A6-7E-74-09-E1,802.11g/n/ac,-41,90,90.0,2.437,6,261,21,NETGEAR,,,WPA2-PSK,CCMP,867 Mbps,20 MHz,4 - 8,Infrastructure,No,17-12-2022 00:09:00,17-12-2022 00:09:00,1,18-11-2022 10:57:24,90,90,802.11d/i/r,No,,,IN,,4
CG,94-A6-7E-74-09-F1,802.11n/ac,-32,92,92.0,5.785,157,272,18,NETGEAR,,,WPA2-PSK,CCMP,867 Mbps,80 MHz,155 - 171,Infrastructure,No,17-12-2022 00:09:00,17-12-2022 00:09:00,1,18-11-2022 10:57:25,92,92,802.11d/i/r,No,,,IN,,4
CG,94-A6-7E-74-05-E1,802.11g/n/ac,-69,74,74.0,2.462,11,245,20,NETGEAR,,,WPA2-PSK,CCMP,867 Mbps,20 MHz,9 - 13,Infrastructure,No,17-12-2022 00:09:00,17-12-2022 00:09:00,1,15-12-2022 19:01:42,74,74,802.11d/i/r,No,,,IN,,4
CG,94-A6-7E-73-E1-21,802.11g/n/ac,-63,80,80.0,2.412,1,239,19,NETGEAR,,,WPA2-PSK,CCMP,867 Mbps,20 MHz,1 - 3,Infrastructure,No,17-12-2022 00:09:00,17-12-2022 00:09:00,1,28-11-2022 14:24:18,80,80,802.11d/i/r,No,,,IN,,11
CG,94-A6-7E-73-DC-11,802.11n/ac,-72,71,71.0,5.220,44,272,18,NETGEAR,,,WPA2-PSK,CCMP,867 Mbps,40 MHz,42 - 50,Infrastructure,No,17-12-2022 00:09:00,17-12-2022 00:09:00,1,21-10-2022 19:39:33,71,71,802.11d/i/r,No,,,IN,,7
interop_2g,10-0C-6B-58-38-2D,802.11g/n/ax,-37,91,91.0,2.437,6,399,22,NETGEAR,RAX50,RAX50,WPA2-PSK,CCMP,300 Mbps,40 MHz,4 - 12,Infrastructure,Locked,17-12-2022 00:09:00,17-12-2022 00:09:00,1,14-12-2022 06:54:37,91,91,802.11d/e/h/i/y,No,3,38.0%,KR,,9
interop_5g,10-0C-6B-58-38-2C,802.11n/ac/ax,-45,89,89.0,5.785,157,427,24,NETGEAR,RAX50,RAX50,WPA2-PSK,CCMP,1733 Mbps,80 MHz,155 - 171,Infrastructure,Locked,17-12-2022 00:09:00,17-12-2022 00:09:00,1,14-12-2022 06:54:43,89,89,802.11d/e/h/i/u/y,No,3,7.8%,KR,,9
NETGEAR2G,08-02-8E-3A-0E-00,802.11g/n,-41,90,90.0,2.412,1,216,16,NETGEAR,,,WPA2-PSK,CCMP,144 Mbps,20 MHz,1 - 3,Infrastructure,No,17-12-2022 00:09:00,17-12-2022 00:09:00,1,13-12-2022 13:27:25,90,90,802.11d/i,No,,,DE,,12
